Address,Function,Instruction
.text:0000000180161B03,NpClose, 0Fh
.text:0000000180161B23,NpMapViewOfSection, 28h 
.text:0000000180161B43,NpUnmapViewOfSection, 2Ah 
.text:0000000180161B63,NpOpenFile, 33h 
.text:0000000180161B83,NpCreateSection, 4Ah 
.text:0000000180161F63,ZwAccessCheck, 0
.text:0000000180161F83,NtWorkerFactoryWorkerReady, 1
.text:0000000180161FA3,NtAcceptConnectPort, 2
.text:0000000180161FC3,ZwMapUserPhysicalPagesScatter, 3
.text:0000000180161FE3,NtWaitForSingleObject, 4
.text:0000000180162003,ZwCallbackReturn, 5
.text:0000000180162023,NtReadFile, 6
.text:0000000180162043,NtDeviceIoControlFile, 7
.text:0000000180162063,NtWriteFile, 8
.text:0000000180162083,ZwRemoveIoCompletion, 9
.text:00000001801620A3,ZwReleaseSemaphore, 0Ah
.text:00000001801620C3,ZwReplyWaitReceivePort, 0Bh
.text:00000001801620E3,NtReplyPort, 0Ch
.text:0000000180162103,NtSetInformationThread, 0Dh
.text:0000000180162123,ZwSetEvent, 0Eh
.text:0000000180162143,NtClose, 0Fh
.text:0000000180162163,ZwQueryObject, 10h
.text:0000000180162183,NtQueryInformationFile, 11h
.text:00000001801621A3,NtOpenKey, 12h
.text:00000001801621C3,ZwEnumerateValueKey, 13h
.text:00000001801621E3,ZwFindAtom, 14h
.text:0000000180162203,NtQueryDefaultLocale, 15h
.text:0000000180162223,ZwQueryKey, 16h
.text:0000000180162243,NtQueryValueKey, 17h
.text:0000000180162263,ZwAllocateVirtualMemory, 18h
.text:0000000180162283,NtQueryInformationProcess, 19h
.text:00000001801622A3,ZwWaitForMultipleObjects32, 1Ah
.text:00000001801622C3,ZwWriteFileGather, 1Bh
.text:00000001801622E3,NtSetInformationProcess, 1Ch
.text:0000000180162303,ZwCreateKey, 1Dh
.text:0000000180162323,ZwFreeVirtualMemory, 1Eh
.text:0000000180162343,ZwImpersonateClientOfPort, 1Fh
.text:0000000180162363,ZwReleaseMutant, 20h 
.text:0000000180162383,NtQueryInformationToken, 21h 
.text:00000001801623A3,ZwRequestWaitReplyPort, 22h 
.text:00000001801623C3,ZwQueryVirtualMemory, 23h 
